ano;cnae_2_descricao_secao;variable;salario_medio
2013;Indústrias De Transformação;Demissões;1960.8410914069632
2013;Indústrias Extrativas;Admissões;1412.631868131868
2013;Indústrias Extrativas;Demissões;1384.638036809816
2013;Informação E Comunicação;Admissões;1256.8172945945946
2013;Informação E Comunicação;Demissões;1464.4078681261403
2013;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;2044.388888888889
2013;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;2229.3928571428573
2013;Outras Atividades De Serviços;Admissões;857.3193498817967
2013;Outras Atividades De Serviços;Demissões;1033.8534473507714
2013;Saúde Humana E Serviços Sociais;Admissões;1159.8012242849975
2013;Saúde Humana E Serviços Sociais;Demissões;1234.0868541780446
2013;Serviços Domésticos;Admissões;688.2
2013;Serviços Domésticos;Demissões;1500.0
2013;Transporte, Armazenagem E Correio;Admissões;1123.9917131018717
2013;Transporte, Armazenagem E Correio;Demissões;1325.059223771093
2013;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;1049.4058348294436
2013;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;1269.2852956989248
2014;Administração Pública, Defesa E Seguridade Social;Admissões;1335.1504903893544
2014;Administração Pública, Defesa E Seguridade Social;Demissões;1008.6351947705443
2014;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;867.6666666666666
2014;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;957.8
2014;Alojamento E Alimentação;Admissões;779.6446960424316
2014;Alojamento E Alimentação;Demissões;823.9433191230207
2014;Artes, Cultura, Esporte E Recreação;Admissões;1060.6797885196374
2014;Artes, Cultura, Esporte E Recreação;Demissões;1383.9132183908046
2014;Atividades Administrativas E Serviços Complementares;Admissões;929.0685294714759
2014;Atividades Administrativas E Serviços Complementares;Demissões;999.0212574716079
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1880.3973422712934
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;3748.3848608137046
2014;Atividades Imobiliárias;Admissões;817.1826498422713
2014;Atividades Imobiliárias;Demissões;964.7768306010929
2014;Atividades Profissionais, Científicas E Técnicas;Admissões;1244.0580706921944
2014;Atividades Profissionais, Científicas E Técnicas;Demissões;1278.4685618479882
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;1125.3745686070686
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;1188.462153280687
2014;Construção;Admissões;979.1788439220354
2014;Construção;Demissões;1070.8136777777777
2014;Educação;Admissões;1008.728561067595
2014;Educação;Demissões;1008.2459187516815
2014;Eletricidade E Gás;Demissões;10170.0
2014;Indústrias De Transformação;Admissões;1623.615459751309
2014;Indústrias De Transformação;Demissões;2003.9521219124656
2014;Indústrias Extrativas;Admissões;1594.6686046511627
2014;Indústrias Extrativas;Demissões;1582.2781954887218
2014;Informação E Comunicação;Admissões;1408.2625782838552
2014;Informação E Comunicação;Demissões;1520.3398632521132
2014;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;2012.7058823529412
2014;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;2098.675
2014;Outras Atividades De Serviços;Admissões;1020.2509322033899
2014;Outras Atividades De Serviços;Demissões;1234.1668553008597
2014;Saúde Humana E Serviços Sociais;Admissões;1121.8272293144207
2014;Saúde Humana E Serviços Sociais;Demissões;1211.5407361963191
2014;Serviços Domésticos;Admissões;984.5454545454545
2014;Serviços Domésticos;Demissões;489.2857142857143
2014;Transporte, Armazenagem E Correio;Admissões;1116.355036803365
2014;Transporte, Armazenagem E Correio;Demissões;1291.456832181923
2014;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;1233.4288547486035
2014;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;1273.3771428571429
2015;Administração Pública, Defesa E Seguridade Social;Admissões;1775.4582555650684
2015;Administração Pública, Defesa E Seguridade Social;Demissões;1478.755766559045
2015;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;857.1
2015;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;852.5454545454545
2015;Alojamento E Alimentação;Admissões;891.8497813822286
2015;Alojamento E Alimentação;Demissões;972.8761385907605
2015;Artes, Cultura, Esporte E Recreação;Admissões;1109.0506329113923
2015;Artes, Cultura, Esporte E Recreação;Demissões;1203.0349453551912
2015;Atividades Administrativas E Serviços Complementares;Admissões;1014.7336147980795
2015;Atividades Administrativas E Serviços Complementares;Demissões;1101.3117016788258
2015;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1905.4462735381567
2015;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;3370.9035497470486
2015;Atividades Imobiliárias;Admissões;1133.6948181818182
2015;Atividades Imobiliárias;Demissões;1122.279814814815
2015;Atividades Profissionais, Científicas E Técnicas;Admissões;1273.0302307137706
2015;Atividades Profissionais, Científicas E Técnicas;Demissões;1410.1288300835654
2015;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;1154.6472959476055
2015;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;1301.3991448308718
2015;Construção;Admissões;851.1171248264546
2015;Construção;Demissões;1043.544614361702
2015;Educação;Admissões;1223.1145409334354
2015;Educação;Demissões;1328.2274710221286
2015;Eletricidade E Gás;Admissões;1187.9405263157894
2015;Eletricidade E Gás;Demissões;1265.4796428571428
2015;Indústrias De Transformação;Admissões;1695.9753513035794
2015;Indústrias De Transformação;Demissões;2334.766515078213
2015;Indústrias Extrativas;Admissões;1647.142857142857
2015;Indústrias Extrativas;Demissões;1573.2246376811595
