desc_cod_escoa_sanitario_domic_fam;cod_familiar_fam
Fossa séptica;585291101
Vala a céu aberto;585291365
Vala a céu aberto;585291608
Vala a céu aberto;585292256
Vala a céu aberto;585292337
Vala a céu aberto;585292507
Vala a céu aberto;585292841
Vala a céu aberto;585292922
Outra forma;585293147
Outra forma;585293732
Vala a céu aberto;585294038
Vala a céu aberto;585294208
Outra forma;585294461
Vala a céu aberto;585294542
Vala a céu aberto;585294623
Outra forma;585294704
Vala a céu aberto;585295000
Vala a céu aberto;585295271
Vala a céu aberto;585296243
Vala a céu aberto;585296839
Outra forma;585297304
Vala a céu aberto;585301344
Fossa rudimentar;585302588
Vala a céu aberto;585302669
Vala a céu aberto;585303207
Vala a céu aberto;585303711
Fossa séptica;585304017
Vala a céu aberto;585304106
Fossa séptica;585304289
Vala a céu aberto;585304440
Vala a céu aberto;585304521
Outra forma;585304793
Fossa rudimentar;585304955
Vala a céu aberto;585305170
Fossa séptica;585305250
Vala a céu aberto;585305412
Fossa rudimentar;585305684
Fossa séptica;585307032
Fossa séptica;585307202
Vala a céu aberto;585307547
Vala a céu aberto;585307628
Vala a céu aberto;585308195
Fossa séptica;585308357
Fossa séptica;585308608
Vala a céu aberto;585308861
Vala a céu aberto;585308942
Fossa séptica;585309086
Fossa séptica;585309167
Fossa séptica;585309671
Vala a céu aberto;585310092
Vala a céu aberto;585310688
Fossa séptica;585310769
Vala a céu aberto;585310840
Fossa séptica;585311064
Vala a céu aberto;585311307
Fossa séptica;585311811
Outra forma;585312117
Vala a céu aberto;585312206
Vala a céu aberto;585312540
Fossa séptica;585313784
Fossa séptica;585313865
Fossa rudimentar;585313946
Fossa séptica;585314080
Fossa séptica;585314160
Fossa séptica;585314241
Fossa séptica;585314322
Fossa séptica;585314756
Fossa séptica;585315051
Vala a céu aberto;585315132
Fossa séptica;585315302
Fossa séptica;585315485
Vala a céu aberto;585315566
Fossa séptica;585315728
Fossa séptica;585315809
Vala a céu aberto;585315990
Fossa rudimentar;585316104
Vala a céu aberto;585316457
Vala a céu aberto;585316538
Direto para um rio, lago ou mar;585316619
Fossa rudimentar;585317003
Fossa séptica;585317429
Fossa séptica;585317852
Vala a céu aberto;585318158
Fossa séptica;585318310
Fossa séptica;585318905
Fossa séptica;585319049
Fossa séptica;585319120
Fossa séptica;585319472
Fossa séptica;585319553
Vala a céu aberto;585319987
Fossa séptica;585320217
Fossa séptica;585320489
Fossa rudimentar;585320640
Fossa séptica;585320721
Vala a céu aberto;585320802
Fossa séptica;585321027
Fossa séptica;585321299
Outra forma;585321370
Vala a céu aberto;585321701
Fossa séptica;585321884
Vala a céu aberto;585322007
Outra forma;585322180
Fossa séptica;585322422
Fossa séptica;585322775
Fossa séptica;585322856
Fossa séptica;585323232
Vala a céu aberto;585323747
Vala a céu aberto;585323828
Outra forma;585324042
Fossa séptica;585324808
Fossa séptica;585324980
Vala a céu aberto;585325286
Vala a céu aberto;585325790
Fossa séptica;585325952
Outra forma;585326096
Vala a céu aberto;585326339
Vala a céu aberto;585326410
Vala a céu aberto;585326509
;585326762
Vala a céu aberto;585327904
Vala a céu aberto;585328030
Vala a céu aberto;585328110
Fossa séptica;585328625
Fossa séptica;585328706
;585329354
Vala a céu aberto;585329435
Fossa séptica;585329516
Vala a céu aberto;585329605
Vala a céu aberto;585329788
Fossa séptica;585329940
Vala a céu aberto;585331251
Outra forma;585332061
Fossa rudimentar;585332223
Vala a céu aberto;665412045
Fossa séptica;665412126
Fossa séptica;665412711
Vala a céu aberto;665412800
Vala a céu aberto;665413017
Fossa séptica;665413521
Vala a céu aberto;665413602
Vala a céu aberto;665413793
Vala a céu aberto;665413874
;665413955
Vala a céu aberto;684963892
Outra forma;695561057
Vala a céu aberto;799416134
Direto para um rio, lago ou mar;821610201
Vala a céu aberto;1096361639
Vala a céu aberto;1096362791
Vala a céu aberto;1096363097
Direto para um rio, lago ou mar;1096363763
;1096364905
Fossa séptica;1096365111
Fossa séptica;1096365545
Vala a céu aberto;1096365707
;1096365979
Direto para um rio, lago ou mar;1096366436
Vala a céu aberto;1096366860
Vala a céu aberto;1096368722
Vala a céu aberto;1096369885
Direto para um rio, lago ou mar;1096436663
